state_in_path,x,y,sr,sf,tp,v,e
119,1502,250,10,12,-100,0.9917648,0.008269312858114768
120,1513,250,10,12,-100,0.9917648,0.008269312858114768
121,1524,250,10,12,-100,0.9917648,0.008269312858114768
122,1535,250,10,12,-100,0.9917648,0.008269312858114768
123,1546,250,10,12,-100,0.9917648,0.008269312858114768
124,1557,250,10,12,-100,0.9917648,0.008269312858114768
125,1568,250,10,12,-100,0.9917648,0.008269312858114768
126,1579,250,10,12,-100,0.9917648,0.008269312858114768
127,1590,250,10,12,-100,0.9917648,0.008269312858114768
128,1601,250,10,12,-100,0.9917648,0.008269312858114768
129,1612,250,10,12,-100,0.9917648,0.008269312858114768
130,1623,250,10,12,-100,0.9917648,0.008269312858114768
131,1634,250,10,12,-100,0.9917648,0.008269312858114768
132,1645,250,10,12,-100,0.9917648,0.008269312858114768
133,1656,250,10,12,-100,0.9917648,0.008269312858114768
134,1667,250,10,12,-100,0.9917648,0.008269312858114768
135,1678,250,10,12,-100,0.9917648,0.008269312858114768
136,1689,250,10,12,-100,0.9917648,0.008269312858114768
137,1700,250,10,12,-100,0.9917648,0.008269312858114768
138,1711,250,10,12,-100,0.9917648,0.008269312858114768
139,1722,250,10,12,-100,0.9917648,0.008269312858114768
140,1733,250,10,12,-100,0.9917648,0.008269312858114768
141,1744,250,10,12,-100,0.9917648,0.008269312858114768
142,1755,250,10,12,-100,0.9917648,0.008269312858114768
143,1766,250,10,12,-100,0.9917648,0.008269312858114768
144,1777,250,10,12,-100,0.9917648,0.008269312858114768
145,1788,250,10,12,-100,0.9917648,0.008269312858114768
146,1799,250,10,12,-100,0.9917648,0.008269312858114768
147,1810,250,10,12,-100,0.9917648,0.008269312858114768
148,1821,250,10,12,-100,0.9917648,0.008269312858114768
149,1832,250,10,12,-100,0.9917648,0.008269312858114768
150,1843,250,10,12,-100,0.9917648,0.008269312858114768
151,1854,250,10,12,-100,0.9917648,0.008269312858114768
152,1865,250,10,12,-100,0.9917648,0.008269312858114768
153,1876,250,10,12,-100,0.9917648,0.008269312858114768
154,1887,250,10,12,-100,0.9917648,0.008269312858114768
155,1898,250,10,12,-100,0.9917648,0.008269312858114768
156,1909,250,10,12,-100,0.9917648,0.008269312858114768
157,1920,250,10,12,-100,0.9917648,0.008269312858114768
158,1931,250,10,12,-100,0.9917648,0.008269312858114768
159,1942,250,10,12,-100,0.9917648,0.008269312858114768
160,1953,250,10,12,-100,0.9917648,0.008269312858114768
161,1964,250,10,12,-100,0.9917648,0.008269312858114768
162,1975,250,10,12,-100,0.9917648,0.008269312858114768
163,1986,250,10,12,-100,0.9917648,0.008269312858114768
164,1997,250,10,12,-100,0.9917648,0.008269312858114768
165,2008,250,10,12,-100,0.9917648,0.008269312858114768
166,2019,250,10,12,-100,0.9917648,0.008269312858114768
167,2030,250,10,12,-100,0.9917648,0.008269312858114768
168,2041,250,10,12,-100,0.9917648,0.008269312858114768
169,2052,250,10,12,-100,0.9917648,0.008269312858114768
170,2063,250,10,12,-100,0.9917648,0.008269312858114768
171,2074,250,10,12,-100,0.9917648,0.008269312858114768
172,2085,250,10,12,-100,0.9917648,0.008269312858114768
173,2096,250,10,12,-100,0.9917648,0.008269312858114768
174,2107,250,10,12,-100,0.9917648,0.008269312858114768
175,2118,250,10,12,-100,0.9917648,0.008269312858114768
176,2129,250,10,12,-100,0.9917648,0.008269312858114768
177,2140,250,10,12,-100,0.9917648,0.008269312858114768
178,2151,250,10,12,-100,0.9917648,0.008269312858114768
179,2162,250,10,12,-100,0.9917648,0.008269312858114768
180,2173,250,10,12,-100,0.9917648,0.008269312858114768
181,2184,250,10,12,-100,0.9917648,0.008269312858114768
182,2195,250,10,12,-100,0.9917648,0.008269312858114768
183,2206,250,10,12,-100,0.9917648,0.008269312858114768
184,2217,250,10,12,-100,0.9917648,0.008269312858114768
185,2228,250,10,12,-100,0.9917648,0.008269312858114768
186,2239,250,10,12,-100,0.9917648,0.008269312858114768
187,2250,250,10,12,-100,0.9917648,0.008269312858114768
188,2261,250,10,12,-100,0.9917648,0.008269312858114768
189,2272,250,10,12,-100,0.9917648,0.008269312858114768
190,2283,250,10,12,-100,0.9917648,0.008269312858114768
191,2294,250,10,12,-100,0.9917648,0.008269312858114768
192,2305,250,10,12,-100,0.9917648,0.008269312858114768
193,2316,250,10,12,-100,0.9917648,0.008269312858114768
194,2327,250,10,12,-100,0.9917648,0.008269312858114768
195,2338,250,10,12,-100,0.9917648,0.008269312858114768
196,2349,250,10,12,-100,0.9917648,0.008269312858114768
197,2360,250,10,12,-100,0.9917648,0.008269312858114768
198,2371,250,10,12,-100,0.9917648,0.008269312858114768
199,2382,250,10,12,-100,0.9917648,0.008269312858114768
200,2393,250,10,12,-100,0.9917648,0.008269312858114768
201,2404,250,10,12,-100,0.9917648,0.008269312858114768
202,2415,250,10,12,-100,0.9917648,0.008269312858114768
203,2426,250,10,12,-100,0.9917648,0.008269312858114768
204,2437,250,10,12,-100,1.0,-0.0
0,192,250,10,12,-100,0.9917648,0.008269312858114768
1,203,250,10,12,-100,0.9917648,0.008269312858114768
2,214,250,10,12,-100,0.9917648,0.008269312858114768
3,225,250,10,12,-100,0.9917648,0.008269312858114768
4,236,250,10,12,-100,0.9917648,0.008269312858114768
5,247,250,10,12,-100,0.9917648,0.008269312858114768
6,258,250,10,12,-100,0.9917648,0.008269312858114768
7,269,250,10,12,-100,0.9917648,0.008269312858114768
8,280,250,10,12,-100,0.9917648,0.008269312858114768
9,291,250,10,12,-100,0.9917648,0.008269312858114768
10,302,250,10,12,-100,0.9917648,0.008269312858114768
11,313,250,10,12,-100,0.9917648,0.008269312858114768
12,324,250,10,12,-100,0.9917648,0.008269312858114768
13,335,250,10,12,-100,0.9917648,0.008269312858114768
14,346,250,10,12,-100,0.9917648,0.008269312858114768
15,357,250,10,12,-100,0.9917648,0.008269312858114768
16,368,250,10,12,-100,0.9917648,0.008269312858114768
17,379,250,10,12,-100,0.9917648,0.008269312858114768
18,390,250,10,12,-100,0.9917648,0.008269312858114768
19,401,250,10,12,-100,0.9917648,0.008269312858114768
20,412,250,10,12,-100,0.9917648,0.008269312858114768
21,423,250,10,12,-100,0.9917648,0.008269312858114768
